ledger_key,id,object_type,original_claim,canonical_status,root_cause_invariant,affected_surface_files_data,owner_requirement,implementation_disposition,failing_before_evidence,changed_files_commits,tests,negative_failure_path_proof,integrated_proof,residual_risk,final_status
"BLOCKER:BLK-001","BLK-001","BLOCKER","85 authoritative primary paths were BLOCKED_CONTENT_NOT_LOCAL at the 934-row snapshot; 322 rows total were dataless including generated/excluded artifacts.","RESOLVED_OR_RECALIBRATED","iCloud placeholders","Hydrate a controlled read-only copy outside active repos, then rerun exact inventory.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","85 authoritative primary paths were BLOCKED_CONTENT_NOT_LOCAL at the 934-row snapshot; 322 rows total were dataless including generated/excluded artifacts.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","BLOCKED","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"BLOCKER:BLK-002","BLK-002","BLOCKER","Reading placeholders automatically changed local byte/metadata state for source/Git files without content or Git commands writing them.","RESOLVED_OR_RECALIBRATED","Automatic hydration side effect","Use a fully local immutable snapshot or disk image; do not claim literal zero filesystem-state change.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","Reading placeholders automatically changed local byte/metadata state for source/Git files without content or Git commands writing them.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","CONFIRMED_CAVEAT","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"BLOCKER:BLK-003","BLK-003","BLOCKER","REPO-001 baseline and closeout: 0 staged, 535 modified, 1 deleted, 125 untracked; user changes preserved.","RESOLVED_OR_RECALIBRATED","Primary dirty worktree","Owner selects canonical clean reference; audit the diff against that reference.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","REPO-001 baseline and closeout: 0 staged, 535 modified, 1 deleted, 125 untracked; user changes preserved.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","BLOCKED","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"BLOCKER:BLK-004","BLK-004","BLOCKER","Eight Git candidates had status blocked/not applicable by dataless indexes/objects or invalid worktree state.","RESOLVED_OR_RECALIBRATED","Git completeness","Hydrate Git metadata in an immutable copy.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","Eight Git candidates had status blocked/not applicable by dataless indexes/objects or invalid worktree state.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","BLOCKED","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"BLOCKER:BLK-005","BLK-005","BLOCKER","No owner-approved canonical checkout/branch/commit was available; multiple commits and same-HEAD manifest drift exist.","RESOLVED_OR_RECALIBRATED","Canonical source","Owner identifies canonical app, marketing, internal, ClickToScale and onboarding sources.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","No owner-approved canonical checkout/branch/commit was available; multiple commits and same-HEAD manifest drift exist.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","NOT_PROVEN","VERIFIED_ALREADY_CORRECT"
"BLOCKER:BLK-006","BLK-006","BLOCKER","Vercel CLI/auth unavailable; unauthenticated deployment inspection returned 403; marker does not identify commit.","RESOLVED_OR_RECALIBRATED","Deployment lineage","Provide read-only deployment metadata or signed build provenance.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","Vercel CLI/auth unavailable; unauthenticated deployment inspection returned 403; marker does not identify commit.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","BLOCKED","VERIFIED_ALREADY_CORRECT"
"BLOCKER:BLK-007","BLK-007","BLOCKER","ClickToScale and onboarding domains are live but no source/project/config linkage was discoverable.","ACTIVE_BOUNDARY","Cloudflare surface lineage","Provide read-only Cloudflare project/domain metadata and source mapping.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","ClickToScale and onboarding domains are live but no source/project/config linkage was discoverable.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","BLOCKED","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-008","BLK-008","BLOCKER","Only environment key names were inventoried; no values, enabled flags, account IDs, or secrets were read.","ACTIVE_BOUNDARY","Production environment values","Provide a sanitized presence/policy attestation, never raw values.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","Only environment key names were inventoried; no values, enabled flags, account IDs, or secrets were read.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","SKIPPED_SAFETY","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-009","BLK-009","BLOCKER","No production/shared database query or cross-tenant fixture was authorized; 14 migration bodies were dataless at snapshot.","ACTIVE_BOUNDARY","Live database schema/RLS","Use schema-only metadata and isolated negative tenant fixtures.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","No production/shared database query or cross-tenant fixture was authorized; 14 migration bodies were dataless at snapshot.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","SKIPPED_SAFETY","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-010","BLK-010","BLOCKER","No Meta, Stripe, Twilio, GHL, Higgsfield, OpenAI, HeyGen, ElevenLabs, Freshdesk or Supabase mutation/auth call was made.","ACTIVE_BOUNDARY","Provider behavior","Use sandbox/test accounts and explicit approval.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","No Meta, Stripe, Twilio, GHL, Higgsfield, OpenAI, HeyGen, ElevenLabs, Freshdesk or Supabase mutation/auth call was made.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","SKIPPED_SAFETY","BLOCKED_BY_EXTERNAL_AUTHORITY"
