id,env_key,source_referenced,env_example,contract_status,sensitivity,risk_class,configured_value_status,note
CFG-001,AI_API_KEY,true,true,both,secret_name_only,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-002,AI_BASE_URL,true,true,both,server_or_runtime_config,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-003,AI_MODEL,true,true,both,server_or_runtime_config,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-004,AI_PROVIDER,true,true,both,server_or_runtime_config,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-005,AI_VISION_MODEL,false,true,example_only,server_or_runtime_config,application_or_runtime,NOT_READ,Documented in .env.example but not found in captured source-reference scan.
CFG-006,ALLOW_BILLING_ADMIN_OVERRIDE,true,true,both,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Present in both captured source-reference and example sets.
CFG-007,ALLOW_HEYGEN_VIDEO_GENERATION,true,true,both,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Present in both captured source-reference and example sets.
CFG-008,ALLOW_HIGGSFIELD_IMAGE_GENERATION,true,true,both,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Present in both captured source-reference and example sets.
CFG-009,ALLOW_HIGGSFIELD_VIDEO_GENERATION,true,true,both,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Present in both captured source-reference and example sets.
CFG-010,ALLOW_META_LAUNCH_INTERRUPTION_TESTS,true,false,source_only,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Referenced in source but absent from .env.example.
CFG-011,ALLOW_META_LIVE_LAUNCH,true,true,both,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Present in both captured source-reference and example sets.
CFG-012,ALLOW_OPENAI_IMAGE_GENERATION,true,true,both,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Present in both captured source-reference and example sets.
CFG-013,ALLOW_PUBLIC_LEAD_NO_TURNSTILE,true,false,source_only,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Referenced in source but absent from .env.example.
CFG-014,ALLOW_QA_BILLING_ACCEPTANCE_OVERRIDE,true,true,both,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Present in both captured source-reference and example sets.
CFG-015,ALLOW_QA_GENERATION_CREDIT_OVERRIDE,true,true,both,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Present in both captured source-reference and example sets.
CFG-016,APP_URL,true,false,source_only,server_or_runtime_config,application_or_runtime,NOT_READ,Referenced in source but absent from .env.example.
CFG-017,ARCADS_AVATAR_ID,true,false,source_only,server_or_runtime_config,application_or_runtime,NOT_READ,Referenced in source but absent from .env.example.
CFG-018,ARCADS_VOICE_ID,true,false,source_only,server_or_runtime_config,application_or_runtime,NOT_READ,Referenced in source but absent from .env.example.
CFG-019,BILLING_ADMIN_OVERRIDE_EMAILS,true,true,both,server_or_runtime_config,financial_or_limit,NOT_READ,Present in both captured source-reference and example sets.
CFG-020,CLICKTOSCALE_GHL_PRIVATE_INTEGRATION,true,false,source_only,secret_name_only,provider_or_platform,NOT_READ,Referenced in source but absent from .env.example.
CFG-021,CRON_SECRET,true,true,both,secret_name_only,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-022,DEALFLOW_PLATFORM_FUNNEL_HOSTS,true,true,both,server_or_runtime_config,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-023,DEALFLOW_PLATFORM_LAUNCH_DOMAIN,true,true,both,server_or_runtime_config,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-024,DEALFLOW_PLATFORM_LAUNCH_DOMAIN_VERIFIED,true,true,both,server_or_runtime_config,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-025,ELEVENLABS_API_KEY,true,true,both,secret_name_only,provider_or_platform,NOT_READ,Present in both captured source-reference and example sets.
CFG-026,ELEVENLABS_MODEL_ID,true,false,source_only,server_or_runtime_config,provider_or_platform,NOT_READ,Referenced in source but absent from .env.example.
CFG-027,ELEVENLABS_VOICE_ID,true,true,both,server_or_runtime_config,provider_or_platform,NOT_READ,Present in both captured source-reference and example sets.
CFG-028,ENABLE_STRUCTURED_INFO_LOGS,true,false,source_only,server_or_runtime_config,application_or_runtime,NOT_READ,Referenced in source but absent from .env.example.
CFG-029,FINISHED_AD_VISION_QA_ENABLED,false,true,example_only,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Documented in .env.example but not found in captured source-reference scan.
CFG-030,FINISHED_AD_VISION_QA_MODEL,false,true,example_only,server_or_runtime_config,production_safety_or_test_flag,NOT_READ,Documented in .env.example but not found in captured source-reference scan.
CFG-031,FRESHDESK_API_KEY,false,true,example_only,secret_name_only,provider_or_platform,NOT_READ,Documented in .env.example but not found in captured source-reference scan.
CFG-032,FRESHDESK_DOMAIN,false,true,example_only,server_or_runtime_config,provider_or_platform,NOT_READ,Documented in .env.example but not found in captured source-reference scan.
CFG-033,FRESHDESK_GROUP_ID,false,true,example_only,server_or_runtime_config,provider_or_platform,NOT_READ,Documented in .env.example but not found in captured source-reference scan.
CFG-034,FRESHDESK_PRODUCT_ID,false,true,example_only,server_or_runtime_config,provider_or_platform,NOT_READ,Documented in .env.example but not found in captured source-reference scan.
CFG-035,GENERATION_CREDIT_OVERDRAFT_LIMIT_CENTS,false,true,example_only,server_or_runtime_config,financial_or_limit,NOT_READ,Documented in .env.example but not found in captured source-reference scan.
CFG-036,HEYGEN_API_KEY,true,true,both,secret_name_only,provider_or_platform,NOT_READ,Present in both captured source-reference and example sets.
CFG-037,HEYGEN_AVATAR_ID,true,true,both,server_or_runtime_config,provider_or_platform,NOT_READ,Present in both captured source-reference and example sets.
CFG-038,HEYGEN_BASE_URL,true,false,source_only,server_or_runtime_config,provider_or_platform,NOT_READ,Referenced in source but absent from .env.example.
CFG-039,HEYGEN_VOICE_ID,true,true,both,server_or_runtime_config,provider_or_platform,NOT_READ,Present in both captured source-reference and example sets.
CFG-040,HF_API_KEY,true,true,both,secret_name_only,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
CFG-041,HF_API_SECRET,true,true,both,secret_name_only,application_or_runtime,NOT_READ,Present in both captured source-reference and example sets.
