id,kind,runtime_path,source_path,methods,actor_boundary,guard_or_trigger,side_effect_class,truth_status,proof_tier,notes
ROUTE-001,PAGE,/admin/command-center,src/app/(app)/admin/command-center/page.tsx,GET/render,operator,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-002,PAGE,/admin/issues,src/app/(app)/admin/issues/page.tsx,GET/render,operator,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-003,PAGE,/admin/launch-monitor,src/app/(app)/admin/launch-monitor/page.tsx,GET/render,operator,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-004,PAGE,/build/creatives,src/app/(app)/build/creatives/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-005,PAGE,/build/funnel,src/app/(app)/build/funnel/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-006,PAGE,/builder,src/app/(app)/builder/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-007,PAGE,/campaign-built,src/app/(app)/campaign-built/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-008,PAGE,/dashboard,src/app/(app)/dashboard/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-009,PAGE,/growth-agent/approvals,src/app/(app)/growth-agent/approvals/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-010,PAGE,/growth-agent/assets,src/app/(app)/growth-agent/assets/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-011,PAGE,/growth-agent/calls,src/app/(app)/growth-agent/calls/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-012,PAGE,/growth-agent/community,src/app/(app)/growth-agent/community/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-013,PAGE,/growth-agent/compliance,src/app/(app)/growth-agent/compliance/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-014,PAGE,/growth-agent/experiments,src/app/(app)/growth-agent/experiments/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-015,PAGE,/growth-agent/memory,src/app/(app)/growth-agent/memory/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-016,PAGE,/growth-agent/missions,src/app/(app)/growth-agent/missions/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-017,PAGE,/growth-agent/outbound,src/app/(app)/growth-agent/outbound/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-018,PAGE,/growth-agent,src/app/(app)/growth-agent/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-019,PAGE,/growth-agent/replies,src/app/(app)/growth-agent/replies/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-020,PAGE,/growth-agent/reports,src/app/(app)/growth-agent/reports/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-021,PAGE,/growth-agent/research,src/app/(app)/growth-agent/research/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-022,PAGE,/growth-agent/setters,src/app/(app)/growth-agent/setters/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-023,PAGE,/growth-agent/tasks,src/app/(app)/growth-agent/tasks/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-024,PAGE,/launch-success,src/app/(app)/launch-success/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-025,PAGE,/launch,src/app/(app)/launch/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-026,PAGE,/launching,src/app/(app)/launching/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-027,PAGE,/onboarding,src/app/(app)/onboarding/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-028,PAGE,/paywall,src/app/(app)/paywall/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-029,PAGE,/preview,src/app/(app)/preview/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-030,PAGE,/sales-copilot/calls,src/app/(app)/sales-copilot/calls/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-031,PAGE,/sales-copilot/evals,src/app/(app)/sales-copilot/evals/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-032,PAGE,/sales-copilot/experiments,src/app/(app)/sales-copilot/experiments/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-033,PAGE,/sales-copilot/memory,src/app/(app)/sales-copilot/memory/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-034,PAGE,/sales-copilot/metrics,src/app/(app)/sales-copilot/metrics/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-035,PAGE,/sales-copilot/objections,src/app/(app)/sales-copilot/objections/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-036,PAGE,/sales-copilot,src/app/(app)/sales-copilot/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-037,PAGE,/sales-copilot/playbooks,src/app/(app)/sales-copilot/playbooks/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-038,PAGE,/sales-copilot/replies,src/app/(app)/sales-copilot/replies/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-039,PAGE,/sales-copilot/reports,src/app/(app)/sales-copilot/reports/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-040,PAGE,/sales-copilot/setters,src/app/(app)/sales-copilot/setters/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-041,PAGE,/settings,src/app/(app)/settings/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-042,PAGE,/unlock,src/app/(app)/unlock/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-043,PAGE,/welcome,src/app/(app)/welcome/page.tsx,GET/render,authenticated,authenticated app layout plus route logic,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-044,PAGE,/login,src/app/(auth)/login/page.tsx,GET/render,anonymous/auth,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-045,PAGE,/clicktoscale,src/app/clicktoscale/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-046,PAGE,/data-deletion,src/app/data-deletion/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-047,PAGE,/f/:slug,src/app/f/[slug]/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-048,PAGE,/f/:slug/thank-you,src/app/f/[slug]/thank-you/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-049,PAGE,/p/:slug/start,src/app/p/[slug]/start/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-050,PAGE,/,src/app/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-051,PAGE,/privacy,src/app/privacy/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-052,PAGE,/results,src/app/results/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-053,PAGE,/signup,src/app/signup/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-054,PAGE,/terms,src/app/terms/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
