route_id,route_pattern,source_scope,actor_role,meaningful_states,runtime_proof,proof_tier,blocker
ROUTE-001,/admin/command-center,primary REPO-001 candidate,operator,authorized operator; unauthorized not-found; data available/empty/error/stale,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-002,/admin/issues,primary REPO-001 candidate,operator,authorized operator; unauthorized not-found; data available/empty/error/stale,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-003,/admin/launch-monitor,primary REPO-001 candidate,operator,authorized operator; unauthorized not-found; data available/empty/error/stale,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-004,/build/creatives,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-005,/build/funnel,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-006,/builder,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-007,/campaign-built,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-008,/dashboard,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-009,/growth-agent/approvals,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-010,/growth-agent/assets,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-011,/growth-agent/calls,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-012,/growth-agent/community,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-013,/growth-agent/compliance,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-014,/growth-agent/experiments,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-015,/growth-agent/memory,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-016,/growth-agent/missions,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-017,/growth-agent/outbound,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-018,/growth-agent,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-019,/growth-agent/replies,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-020,/growth-agent/reports,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-021,/growth-agent/research,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-022,/growth-agent/setters,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-023,/growth-agent/tasks,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-024,/launch-success,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-025,/launch,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-026,/launching,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-027,/onboarding,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
