id,source_agent_id,family,route_surfaces,actors_and_prerequisites,trigger,downstream_consequence,mutation_classification,truth_status,proof_tier,key_evidence,reverse_trace
UIA-001,UIA-600,"Marketing navigation, CTA, and showcase selection",homepage / and SEO marketing surfaces,anonymous; public route; JavaScript for analytics/showcase state,"click CTA, sign-in link, hash link, or cockpit/engine selector",navigate to auth/section or change local showcase state; CTA clicks may record Vercel analytics,navigation_or_analytics,SOURCE_PROVEN,C,/Users/raiaanreza/Documents/dealflow-os-homepage/src/components/marketing/home-command-center.tsx:683,"navigate to auth/section or change local showcase state; CTA clicks may record Vercel analytics <- click CTA, sign-in link, hash link, or cockpit/engine selector <- homepage / and SEO marketing surfaces"
UIA-002,UIA-601,Authentication mode switch,/login and embedded login form,anonymous; login form rendered,select Sign in or Create account,client-only mode and visible-field change,client_only,SOURCE_PROVEN,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/auth/login-form.tsx:354,client-only mode and visible-field change <- select Sign in or Create account <- /login and embedded login form
UIA-003,UIA-602,Credential sign-in or signup submit,/login,Supabase client configured; required fields; optional Turnstile,submit credential form in sign-in or sign-up mode,auth/session request; signup can create user and verification communication,external_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/auth/login-form.tsx:379,auth/session request; signup can create user and verification communication <- submit credential form in sign-in or sign-up mode <- /login
UIA-004,UIA-603,Password reset or update,/login,Supabase configured; reset or update mode,submit email reset request or new password,can send reset communication or change credential,external_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/auth/login-form.tsx:425,can send reset communication or change credential <- submit email reset request or new password <- /login
UIA-005,UIA-604,Google OAuth start,/login,Google auth enabled; Supabase configured,click Continue with Google,OAuth redirect/session flow; provider and browser state,external_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/auth/login-form.tsx:500,OAuth redirect/session flow; provider and browser state <- click Continue with Google <- /login
UIA-006,UIA-605,Desktop product and internal navigation,authenticated app shell,authenticated user; internal links additionally require internal operator,click sidebar route,navigate while preserving campaignId query when present,navigation,SOURCE_PROVEN,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/layout/sidebar.tsx:43,navigate while preserving campaignId query when present <- click sidebar route <- authenticated app shell
UIA-007,UIA-606,Mobile navigation and settings,authenticated app shell,authenticated user; route below lg for mobile nav,click mobile nav or settings icon,navigate to scoped product route or settings,navigation,SOURCE_PROVEN,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/layout/top-bar.tsx:67,navigate to scoped product route or settings <- click mobile nav or settings icon <- authenticated app shell
UIA-008,UIA-607,Sign out,authenticated app shell,authenticated session,click Sign out,auth session invalidation and redirect,external_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/layout/sign-out-button.tsx:37,auth session invalidation and redirect <- click Sign out <- authenticated app shell
UIA-009,UIA-608,Onboarding campaign-mode and step choices,/onboarding,authenticated user; onboarding client hydrated,choose campaign type or advance/back between permitted steps,client draft and step-state change; may emit activation event,browser_and_telemetry_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/app/(app)/onboarding/page.tsx:837,client draft and step-state change; may emit activation event <- choose campaign type or advance/back between permitted steps <- /onboarding
UIA-010,UIA-609,Onboarding field editing,/onboarding,authenticated user; current step exposes fields,"edit market, property, offer, agent, or contact fields",client draft change and automatic localStorage persistence,browser_state_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/app/(app)/onboarding/page.tsx:874,"client draft change and automatic localStorage persistence <- edit market, property, offer, agent, or contact fields <- /onboarding"
UIA-011,UIA-610,Onboarding plan selection,/onboarding,plan step visible; existing launch access may skip it,select Starter or Pro presentation,draft plan tier changes and later checkout/creative routing changes,browser_state_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/app/(app)/onboarding/page.tsx:1059,draft plan tier changes and later checkout/creative routing changes <- select Starter or Pro presentation <- /onboarding
UIA-012,UIA-611,Automatic onboarding persistence and telemetry,/onboarding,route mounted and hydrated,automatic effects on load and draft/step change,remove/read/write localStorage and POST activation telemetry,automatic_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/app/(app)/onboarding/page.tsx:579,remove/read/write localStorage and POST activation telemetry <- automatic effects on load and draft/step change <- /onboarding
UIA-013,UIA-612,Onboarding plan save and continue,/onboarding,validated draft; authenticated workspace; campaign slot policy,continue from final review,"POST onboarding plan, persist campaign, then route to creatives or paywall",database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/app/(app)/onboarding/page.tsx:739,"POST onboarding plan, persist campaign, then route to creatives or paywall <- continue from final review <- /onboarding"
UIA-014,UIA-613,Builder workflow navigation,/builder,authenticated; setup-complete profile; accessible campaign,"back, next, step tab, or scoped route link",change builder panel or navigate to preview/build surface,navigation_or_client_state,SOURCE_PROVEN,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/builder/builder-navigation.tsx:51,"change builder panel or navigate to preview/build surface <- back, next, step tab, or scoped route link <- /builder"
UIA-015,UIA-614,Builder copy generation and application,/builder,campaign draft; copy inputs; generation service/config as applicable,"generate copy, select variation, or apply alternative",provider/domain request and draft content change,provider_or_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/builder/builder-panels.tsx:725,"provider/domain request and draft content change <- generate copy, select variation, or apply alternative <- /builder"
UIA-016,UIA-615,Funnel section editing,/builder,advanced funnel editor; selected section,"add, select, duplicate, remove, reset, reorder, or edit section",client draft/history change; later campaign save persists it,client_then_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/builder/builder-panels.tsx:1198,"client draft/history change; later campaign save persists it <- add, select, duplicate, remove, reset, reorder, or edit section <- /builder"
UIA-017,UIA-616,Creative and funnel media upload,/builder,file selected; MIME/size validation; authenticated campaign,activate hidden file input and select image/video,upload/storage and asset-record intent,storage_and_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/builder/builder-panels.tsx:1098,upload/storage and asset-record intent <- activate hidden file input and select image/video <- /builder
UIA-018,UIA-617,Asset bind or delete,/builder,asset library loaded; selected funnel section,bind asset/thumbnail or delete asset,section binding update or storage/database deletion intent,storage_and_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/builder/builder-panels.tsx:1758,section binding update or storage/database deletion intent <- bind asset/thumbnail or delete asset <- /builder
